DATE,TIME,DATETIME,TANK_NUM,TREATMENT,TEMPINSITU,TEMPINLAB,SALINITY,FLOW_LEFT,FLOW_RIGHT,residence_time,flowrate,TA,pH,DIC_umol_kg,DOC,pH_inflow,TA_inflow,DIC_inflow,DOC_inflow,deltapH,deltaTA,deltaDIC,deltaDOC,NEC,NEP,Notes
2024-06-17,21:00:00,2024-06-17T21:00:00Z,1,Algae_Dom,27.4,26.588,36.2,NA,NA,NA,NA,NA,8.029090809150178,NA,NA,8.054346511673607,NA,NA,NA,-0.025255702523429235,NA,NA,NA,NA,NA,NA
2024-06-18,12:00:00,2024-06-18T12:00:00Z,1,Algae_Dom,27.7,27.383,36.2,NA,NA,NA,NA,NA,8.155929530171365,NA,NA,8.03682743235098,NA,NA,NA,0.1191020978203845,NA,NA,NA,NA,NA,NA
2024-06-18,21:00:00,2024-06-18T21:00:00Z,1,Algae_Dom,26.6,25.918,36.1,NA,NA,NA,NA,NA,7.923005653656682,NA,NA,7.983191605774758,NA,NA,NA,-0.06018595211807565,NA,NA,NA,NA,NA,NA
2024-06-19,12:00:00,2024-06-19T12:00:00Z,1,Algae_Dom,28,27.926,36.4,NA,NA,NA,NA,NA,8.193328811676125,NA,NA,8.01634947062482,NA,NA,NA,0.17697934105130386,NA,NA,NA,NA,NA,NA
2024-06-19,21:00:00,2024-06-19T21:00:00Z,1,Algae_Dom,26.8,26.086,36.4,NA,NA,NA,NA,NA,7.953098055129959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,12:00:00,2024-06-20T12:00:00Z,1,Algae_Dom,28,26.8,36.3,30,44,2.2522522522522523,1.2333333333333334,NA,8.277538127136195,NA,124.5292392,8.08306538736559,2349.2845,1982.810761294699,99.05195645,0.19447273977060497,NA,NA,25.47728275,NA,NA,NA
2024-06-20,21:00:00,2024-06-20T21:00:00Z,1,Algae_Dom,26.9,26.156,36.4,26,38,2.6041666666666665,1.0666666666666667,2379.713425,7.941711837405389,2107.98705251909,147.8355411,8.030525102764017,2367.620913,2042.9691259376807,146.5033956,-0.08881326535862755,-12.092511999999715,-65.01792658140926,1.3321454999999958,-0.047008520722961855,-0.4584938180907207,NA
2024-06-24,12:00:00,2024-06-24T12:00:00Z,1,Algae_Dom,27.5,25.575,38.1,NA,NA,NA,NA,NA,8.372365307932762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-26,12:00:00,2024-06-26T12:00:00Z,1,Algae_Dom,29.3,29.275,36.7,NA,NA,NA,NA,2328.405541,8.265621487457343,1814.3609529500716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Incubation day - project end
2024-06-26,21:00:00,2024-06-26T21:00:00Z,1,Algae_Dom,26.9,24.404,36.3,NA,NA,NA,NA,2368.338591,7.925920021214502,2107.0843689988883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
