CORAL_NUM,GENOTYPE,TREATMENT,TANK_NUM,endo_per_cm2,chla_ug_cm2,mean_tissue_biomass,GP,R,pH_mean,DOC_mean
51,F,Coral_Dom,6,0.4054171108990126,2.0987959719278844,7.108839398544847,NA,0.9789651331944124,8.044577585126033,115.650420031
53,L,Algae_Dom,1,0.04024268674247371,1.3347243101832114,2.5112060671724175,3.566105148,1.2041352980391882,8.039743713602704,162.42704423
56,A,Algae_Dom,14,0.7279005174175806,2.5829272258384908,13.573366159177391,3.4533337881893917,1.0643371276166425,8.051934858764644,124.460064781
58,A,Control,15,0.5140323785262101,1.2958767058405285,5.3496844074791206,4.36779785,1.197679842375734,8.04040327024681,148.14463757444446
59,K,Algae_Dom,4,0.4381844562153806,2.2552897780835184,6.528822843323723,2.465462083,0.6134208189823724,8.060288888668053,180.91056307
60,J,Control,11,0.15072684365637615,1.575040094902347,4.944918320792104,2.2487703984174106,0.6923061280919196,8.044242640025107,141.673604927
62,R,Rubble_Dom,10,NA,NA,NA,NA,NA,8.056944066354125,118.073467815
63,E,Coral_Dom,9,NA,1.6632531126864385,NA,4.038182673694507,1.3249437294866224,8.052154246251016,124.865744715
64,K,Control,11,0.4686758473872469,2.8614139309460995,11.89559208337862,1.6492236770000783,0.7933677431242823,8.044242640025107,141.673604927
65,D,Control,15,NA,1.7717606568596944,NA,NA,NA,8.04040327024681,148.14463757444446
66,R,Control,15,0.35907157063582346,1.5677839727826222,7.56995699785303,3.078419072,1.1014325838631571,8.04040327024681,148.14463757444446
68,F,Algae_Dom,1,0.362984736886018,1.505470059512639,4.844738775665258,2.6864674450255364,1.0628496247257828,8.039743713602704,162.42704423
71,M,Coral_Dom,7,0.7946010544078358,3.85267380203464,NA,5.7513402490583765,2.128778761827318,8.040484016124932,120.077097918
73,B,Rubble_Dom,5,0.2259441617844178,1.5577372237352445,5.593142630293252,3.2173645540124447,0.7969028923547974,8.031325593128724,109.344693877
74,E,Rubble_Dom,10,0.1979196679699275,2.013096938327514,5.800674404153333,2.5559166063117544,1.007779753,8.056944066354125,118.073467815
76,K,Coral_Dom,7,0.9330987155513236,3.23019188104208,4.990847327503277,3.499153580077276,1.3246126910484095,8.040484016124932,120.077097918
